Tipo Entrega,Segmento,Cidade,Estado,Postal Code,Regiao,Categoria,Sub-Categoria,Venda,Quantidade,Desconto,Lucro,Codigo_Estado,Latitude,Longitude,Resultado
Padrão,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Papel,21.96,2,0.0,10.76,KY,37.8367513,-87.5907631,Lucro
Econômica,Home Office,Henderson,Kentucky,42420,South,Móveis,Móveis,61.0,5,0.0,25.62,KY,37.8367513,-87.5907631,Lucro
Econômica,Home Office,Henderson,Kentucky,42420,South,Tecnologia,Smartphones,671.93,7,0.0,188.14,KY,37.8367513,-87.5907631,Lucro
Premium,Corporate,Henderson,Kentucky,42420,South,Material de Escritório,Pen Drive,83.25,3,0.0,14.98,KY,37.8367513,-87.5907631,Lucro
Premium,Corporate,Henderson,Kentucky,42420,South,Material de Escritório,Etiquetas,9.45,3,0.0,4.54,KY,37.8367513,-87.5907631,Lucro
Premium,Corporate,Henderson,Kentucky,42420,South,Material de Escritório,Etiquetas,20.65,5,0.0,9.5,KY,37.8367513,-87.5907631,Lucro
Premium,Corporate,Henderson,Kentucky,42420,South,Material de Escritório,Canetas,45.36,7,0.0,21.77,KY,37.8367513,-87.5907631,Lucro
Econômica,Home Office,Henderson,Kentucky,42420,South,Material de Escritório,Envelopes,17.48,2,0.0,8.22,KY,37.8367513,-87.5907631,Lucro
Econômica,Home Office,Henderson,Kentucky,42420,South,Material de Escritório,Envelopes,71.88,2,0.0,32.35,KY,37.8367513,-87.5907631,Lucro
Econômica,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Pastas,20.0,4,0.0,9.6,KY,37.8367513,-87.5907631,Lucro
Econômica,Consumidor,Henderson,Kentucky,42420,South,Material de Escritório,Grampeador,7.98,3,0.0,2.07,KY,37.8367513,-87.5907631,Lucro
Econômica,Consumidor,Henderson,Kentucky,42420,South,Móveis,Móveis,24.1,5,0.0,9.16,KY,37.8367513,-87.5907631,Lucro
